단어,품사,풀이,등급
머무르다,동,,B
머물다,동,,C
먹고살다,동,,C
먹다,동,귀를 ~,C
먹다,보,잊어 ~,A
먹다,동,밥을 ~,A
먹이,명,,C
먹이다,동,,B
먹히다,동,,B
먼저,부,,A
먼지,명,,B
멀다,형,갈 길이 ~,A
멀리,부,,B
멀어지다,동,,B
멈추다,동,,B
멋,명,,B
멋있다,형,,B
멋지다,형,,C
멍멍,부,,C
멎다,동,,C
메뉴,명,menu,A
메다,동,총을 ~,B
메모,명,memo,B
메시지,명,message,B
메우다,동,'메다'의 사동사,C
메일,명,mail,B
며느리,명,,B
며칠,명,,A
면,명,面. 행정 단위,C
면,명,面. 양쪽 ~,C
면,명,綿,C
면담,명,面談,C
면적,명,面積,C
면접,명,面接,C
면하다,동,免-,C
멸치,명,,C
명,의,名. 한 ~,A
명단,명,名單,C
명령,명,命令,B
명령어,명,命令語,C
명예,명,名譽,C
명의,명,名義,C
명절,명,名節,B
명칭,명,名稱,C
명함,명,名銜,B
명확하다,형,明確-,C
몇,수,,A
몇,관,,A
몇몇,관,,B
몇십,관,,B
모,관,某,C
모,대,某,C
모금,의,한 ~,C
모기,명,,B
모니터,명,monitor,B
모델,명,model,B
모두,명,,A
모두,부,,A
모든,관,,A
모래,명,,B
모레,명,,B
모르다,동,,A
모범,명,模範,C
모색하다,동,摸索-,C
모습,명,,B
모시다,동,,B
모양,명,模樣,B
모양,의,模樣,B
모여들다,동,,C
모으다,동,,B
모이다,동,,B
모임,명,,B
모자,명,帽子,A
모자라다,동,,B
모조리,부,,C
모집,명,募集,C
모집하다,동,募集-,C
모처럼,부,,C
모퉁이,명,,C
목,명,,A
목걸이,명,,B
목록,명,目錄,C
목사,명,牧師,B
목소리,명,,B
목숨,명,,C
목요일,명,木曜日,A
목욕,명,沐浴,A
목욕탕,명,沐浴湯,B
목적,명,目的,B
목표,명,目標,B
몰다,동,,B
몰래,부,,B
몰려들다,동,,C
몰려오다,동,,C
몸,명,,A
몸매,명,,C
몸무게,명,,B
몸살,명,~이 걸리다,B
몸속,명,,C
몸짓,명,,C
몸통,명,,C
몹시,부,,B
못,명,벽에 ~을 박다,C
못,부,,A
못되다,형,,C
못생기다,형,,C
못지않다,형,,C
못하다,동,,A
못하다,형,,A
못하다,보,,A
묘사,명,描寫,C
묘사하다,동,描寫-,C
무,명,식물,B
무,명,無,C
무겁다,형,,A
무게,명,,B
무관심,명,無關心,C
무관심하다,형,無關心-,C
무궁화,명,無窮花,C
무기,명,武器,C
무너지다,동,,C
무늬,명,,B
무대,명,舞臺,C
무더위,명,,B
무덤,명,,C
무덥다,형,,C
무려,부,無慮,C
무렵,의,,B
무료,명,無料,C
무릎,명,,B
무리,명,~를 이루다,C
무리,명,無理,C
무리하다,형,無理-,C
무사하다,형,無事-,C
무섭다,형,,B
무슨,관,,A
무시하다,동,無視-,B
무어,대,,B
무엇,대,,A
무역,명,貿易,B
무용,명,舞踊,B
무용가,명,舞踊家,C
무의미하다,형,無意味-,C
무조건,부,無條件,B
무지개,명,,C
무책임하다,형,無責任-,C
무척,부,,B
묵다,동,오래된 상태,C
묵다,동,머무르다,C
묶다,동,,B
묶이다,동,,C
문,명,門,A
문구,명,文句,C
문득,부,,C
문밖,명,門-,C
문법,명,文法,C
문서,명,文書,C
문자,명,文字,C
문장,명,文章,B
문제,명,問題,A
문제되다,동,問題-,C
문제점,명,問題點,B
문학,명,文學,B
문학적,명,文學的,C
문화,명,文化,B
문화재,명,文化財,C
문화적,명,文化的,C
묻다,동,옷에 흙이 ~,B
묻다,동,시체를 ~,C
묻다,동,길을 ~,A
묻히다,동,옷에 흙을 ~,C
묻히다,동,땅에 ~,C
물,명,바닷~,A
물가,명,物價,C
물건,명,物件,A
물결,명,,C
물고기,명,,B
물기,명,-氣,C
물다,동,담배를 ~,B
물러나다,동,,C
물론,부,勿論,A
물론,명,勿論,B
물리학,명,物理學,C
물속,명,,B
물어보다,동,,A
물음,명,,B
물질,명,物質,C
물질적,명,物質的,C
물체,명,物體,C
뭐,대,,A
뭐,감,,A
뭘,감,,C
뭣,대,,C
미,명,美,C
미국,고,美國,A
미끄러지다,동,,C
미끄럽다,형,,C
미니,명,mini,C
미디어,명,media,B
미래,명,未來,B
미루다,동,,C
미리,부,,B
미만,명,未滿,C
미사일,명,missile,C
미소,명,微笑,B
미술,명,美術,B
미술관,명,美術館,B
미스,명,Miss,C
미안하다,형,未安-,A
미역,명,,C
미용실,명,美容室,C
미움,명,,C
미워하다,동,,B
미인,명,美人,B
미처,부,,C
미치다,동,정신에 이상이 생기다,B
미치다,동,닿다,B
미터,의,meter,A
미팅,명,meeting,B
미혼,명,未婚,C
민간,명,民間,C
민속,명,民俗,C
민족,명,民族,B
민주,명,民主,C
민주주의,명,民主主義,C
민주화,명,民主化,C
믿다,동,,B
믿어지다,동,,C
믿음,명,,B
밀가루,명,,B
밀다,동,,B
밀리다,동,방세가 ~,C
밀리미터,의,millimeter,B
밀접하다,형,密接-,C
밉다,형,,B
및,부,,B
밑,명,,A
밑바닥,명,,C
바,의,,C
바,명,bar,C
바가지,명,,C
바구니,명,,C
바깥,명,,B
바깥쪽,명,,C
바꾸다,동,,A
바뀌다,동,,B
바나나,명,banana,A
바늘,명,,B
바다,명,,A
바닥,명,,B
바닷가,명,,B
바닷물,명,,B
바라다,동,,B
바라보다,동,,B
바람,의,눈이 오는 ~에,A
바람,명,~이 불다,A
바람,명,소원,C
바람직하다,형,,C
바로,부,,A
바로잡다,동,,C
바르다,동,벽지를 ~,B
바르다,형,굽은 데가 없다,B
바보,명,,B
바쁘다,형,,A
바싹,부,,C
바위,명,,B
바이러스,명,virus,C
바이올린,명,violin,B
바지,명,,A
바치다,동,드리다,C
바퀴,명,수레 ~,C
바퀴,의,네 ~,C
바탕,명,,C
박,의,泊,C
박다,동,,C
박물관,명,博物館,A
박사,명,博士,B
박수,명,拍手,B
박스,명,box,B
박히다,동,,C
밖,명,,A
반,명,半,A
반,명,班,A
반갑다,형,,A
반기다,동,,C
반대,명,反對,B
반대편,명,反對便,C
반대하다,동,反對-,B
반드시,부,,B
반말,명,半-,C
반면,명,反面,C
반발,명,反撥,C
반복되다,동,反復-,C
반복하다,동,反復-,B
반성,명,反省,C
반성하다,동,反省-,C
반영하다,동,反映-,C
반응,명,反應,C
반장,명,班長,B
반죽,명,,C
반지,명,半指,B
반짝거리다,동,,C
반짝이다,동,,C
반찬,명,飯饌,B
반하다,동,反-,B
받다,동,선물을 ~,A
받아들이다,동,,B
받침,명,,B
발,명,신체의 일부,A
발가락,명,,B
발걸음,명,,C
발견,명,發見,B
발견되다,동,發見-,B
발견하다,동,發見-,B
발길,명,,C
발끝,명,,C
발달,명,發達,B
발달되다,동,發達-,C
발달하다,동,發達-,B
발등,명,,B
발레,명,&프ballet,C
발목,명,,B
발바닥,명,,C
발생,명,發生,B
발생하다,동,發生-,B
발음,명,發音,A
발음하다,동,發音-,B
발자국,명,,C
발전,명,發展,B
발전,명,發電,C
발전되다,동,發展-,C
발전하다,동,發展-,B
발톱,명,,C
발표,명,發表,B
발표되다,동,發表-,C
발표하다,동,發表-,B
발휘하다,동,發揮-,C
밝다,동,,B
밝다,형,,A
밝아지다,동,,C
밝혀내다,동,,C
밝혀지다,동,,C
밝히다,동,,B
밟다,동,,B
밤,명,어두운 때,A
밤,명,열매,B
밤낮,명,,B
밤늦다,형,,B
밤새,명,~ 안녕하셨습니까,C
밤새다,동,,B
밤새우다,동,,C
밤색,명,-色,C
밤중,명,-中,B
밤하늘,명,,C
밥,명,~을 먹다,A
밥그릇,명,,B
밥맛,명,,B
밥상,명,-床,C
밥솥,명,,B
방,명,房,A
방금,부,方今,B
방면,명,方面,C
방문,명,房門,B
방문,명,訪問,B
방문하다,동,訪問-,B
방바닥,명,房-,C
방법,명,方法,B
방송,명,放送,B
방송국,명,放送局,B
방송사,명,放送社,C
방송하다,동,放送-,C
방식,명,方式,C
방안,명,方案,C
방울,명,물~,C
방울,명,~이 울리다,C
방지,명,防止,C
방지하다,동,防止-,C
방학,명,放學,A
방해,명,妨害,C
방해하다,동,妨害-,C
방향,명,方向,B
밭,명,,B
배,명,신체의 일부,A
배,명,~를 띄우다,A
배,명,열매,A
배,명,倍,C
배경,명,背景,B
배고프다,형,,A
배구,명,排球,B
배꼽,명,,B
배다,동,땀이 ~,C
배달,명,配達,B
배드민턴,명,badminton,B
배부르다,형,,A
배우,명,俳優,B
배우다,동,,A
배우자,명,配偶者,C
배추,명,,B
배추김치,명,,C
배치,명,配置,C
백,수,百,A
백,관,百,A
백두산,고,白頭山,C
백색,명,白色,C
백성,명,百姓,C
백인,명,白人,C
백제,고,百濟,C
백화점,명,百貨店,A
뱀,명,,B
뱃사람,명,,C
뱉다,동,,C
버려지다,동,,C
버릇,명,,B
버리다,동,,B
버리다,보,,A
버섯,명,,B
버스,명,bus,A
버터,명,butter,B
버튼,명,button,B
버티다,동,,C
번,의,番,A
번개,명,,C
번거롭다,형,,C
번역,명,飜譯,B
번역하다,동,飜譯-,C
번지,명,番地,C
번째,의,番-,B
번호,명,番號,A
벌,의,옷 한 ~,C
벌,명,곤충,C
벌,명,罰,C
벌금,명,罰金,C
벌다,동,돈을 ~,B
벌떡,부,,C
벌레,명,,B
벌리다,동,입을 ~,B
벌써,부,,A
벌어지다,동,틈이 ~,C
벌어지다,동,싸움이 ~,B
벌이다,동,,B
범위,명,範圍,C
범인,명,犯人,C
범죄,명,犯罪,C
법,명,法,B
법,의,法,B
법률,명,法律,C
법원,명,法院,C
법적,명,法的,C
법칙,명,法則,C
벗기다,동,,B
벗다,동,,A
베개,명,,B
베다,동,목을 ~,C
베이징(북경),고,北京,B
벤치,명,bench,C
벨트,명,belt,B
벼,명,,C
벽,명,壁,B
변경,명,變更,C
변동,명,變動,C
변명,명,辨明,C
변신,명,變身,C
변하다,동,變-,B
변호사,명,辯護士,B
변화,명,變化,B
변화되다,동,變化-,C
변화하다,동,變化-,B
별,명,,A
별,관,別,B
별다르다,형,別-,C
별도,명,別途,C
별로,부,別-,B
별명,명,別名,C
별일,명,別-,C
병,명,病,A
병,명,甁,A
병들다,동,病-,B
병실,명,病室,C
병아리,명,,C
병원,명,病院,A
보고,명,報告,B
보고서,명,報告書,B
보고하다,동,報告-,C
보관,명,保管,C
보관하다,동,保管-,B
보내다,동,,A
보내오다,동,,C
보너스,명,bonus,C
보다,보,,A
보다,동,,A
보다,부,한층 더,A
보도,명,報道,C
보도되다,동,報道-,C
보도하다,동,報道-,C
보라색,명,-色,C
보람,명,,B
보름,명,,C
보리,명,,C
보살피다,동,,C
보상,명,補償,C
보수,명,保守,C
보수,명,補修,C
보수적,명,保守的,C
보안,명,保安,C
보완하다,동,補完-,C
보이다,동,'보다'의 피동사,B
보이다,동,'보다'의 사동사,B
보자기,명,褓-,C
보장,명,保障,C
보장되다,동,保障-,C
보장하다,동,保障-,C
보전,명,保全,C
보조,명,補助,C
보존,명,保存,C
보존하다,동,保存-,C
보충하다,동,補充-,C
보통,부,普通,B
보통,명,普通,A
보편적,명,普遍的,C
보험,명,保險,B
보호,명,保護,B
보호되다,동,保護-,C
보호하다,동,保護-,C
복,명,福,C
복도,명,複道,B
복사,명,複寫,B
복사기,명,複寫機,C
복사하다,동,複寫-,B
복숭아,명,,C
복습,명,復習,B
복습하다,동,復習-,B
복잡하다,형,複雜-,A
볶다,동,,B
볶음,명,,C
볶음밥,명,,B
본,관,本,C
본격적,명,本格的,C
본래,명,本來,B
본부,명,本部,C
본사,명,本社,C
본성,명,本性,C
본인,명,本人,C
본질,명,本質,C
볼,명,뺨,C
볼링,명,bowling,C
볼일,명,,B
볼펜,명,ball pen,A
봄,명,,A
봉사,명,奉仕,C
봉사하다,동,奉仕-,C
봉지,명,封紙,B
봉투,명,封套,B
뵈다,동,보이다,B
뵈다,동,웃어른을 보다,B
뵙다,동,,B
부,의,部,B
부,명,部,C
부,명,富,C
부근,명,附近,B
부끄러움,명,,B
부끄럽다,형,,B
부담,명,負擔,C
부담하다,동,負擔-,C
부대,명,部隊,C
부동산,명,不動産,B
부드럽다,형,,B
부딪치다,동,,B
부딪히다,동,,C
부러워하다,동,,B
부러지다,동,,C
부럽다,형,,B
부르다,동,이름을 ~,A
부르다,형,배가 ~,B
부모,명,父母,A
부모님,명,父母-,A
부문,명,部門,C
부부,명,夫婦,A
부분,명,部分,B
부분적,명,部分的,C
부산,고,釜山,A
부상,명,負傷,C
부서,명,部署,C
부서지다,동,,C
부엌,명,,A
부위,명,部位,C
부인,명,夫人,A
부인,명,婦人,C
부자,명,富者,B
부작용,명,副作用,B
부잣집,명,富者-,B
부장,명,部長,B
부재,명,不在,C
부정,명,不正,C
부정적,명,否定的,C
부정하다,동,否定-,C
부족,명,不足,B
부족,명,部族,B
부족하다,형,不足-,B
부지런하다,형,,B
부지런히,부,,C
부채,명,,C
부처,명,部處,B
부치다,동,편지를 ~,B
부친,명,父親,C
부탁,명,付託,B
부탁하다,동,付託-,B
부품,명,部品,C
부피,명,,C
부회장,명,副會長,C
북,명,北,B
북부,명,北部,C
북쪽,명,北-,A
북한,고,北韓,B
분,의,한 ~,A
분,의,시 ~,A
분노,명,憤怒,C
분량,명,分量,C
분리,명,分離,C
분리되다,동,分離-,C
분리하다,동,分離-,C
분명,부,分明,B
분명하다,형,分明-,C
분명해지다,동,分明-,C
분명히,부,分明-,B
분석,명,分析,C
분석하다,동,分析-,B
분야,명,分野,C
분위기,명,雰圍氣,B
분주하다,형,奔走-,C
분포하다,동,分布-,C
분필,명,粉筆,C
분홍색,명,粉紅色,C
불,명,,A
불가능하다,형,不可能-,B
불가피하다,형,不可避-,C
불고기,명,,A
불과,부,不過,C
불과하다,형,不過-,C
불교,명,佛敎,B
불구하다,동,不拘-,C
불꽃,명,,B
불다,동,바람이 ~,A
불러일으키다,동,,C
불리다,동,'부르다'의 피동사,B
불리다,동,물에 ~,C
불리하다,형,不利-,C
불만,명,不滿,B
불법,명,不法,C
불법,명,佛法,C
불빛,명,,B
불쌍하다,형,,B
불안,명,不安,B
불안하다,형,不安-,B
불어오다,동,,C
불완전하다,형,不完全-,C
불이익,명,不利益,C
불편,명,不便,C
불편하다,형,不便-,B
불평,명,不平,C
불평등하다,형,不平等-,C
불필요하다,형,不必要-,C
불행,명,不幸,C
불행하다,형,不幸-,B
불확실하다,형,不確實-,C
붉다,형,,B
붐비다,동,,C
붓다,동,얼굴이 ~,C
붓다,동,물을 ~,B
붙다,동,,B
붙들다,동,,C
붙이다,동,,B
붙잡다,동,,C
붙잡히다,동,,C
브랜드,명,brand,C
블라우스,명,blouse,B
비,명,~가 내리다,A
비,명,碑,C
비교,명,比較,B
비교적,부,比較的,B
비교하다,동,比較-,B
비극,명,悲劇,C
비기다,동,,C
비난,명,非難,C
비누,명,,A
비닐,명,vinyl,B
비닐봉지,명,vinyl封紙,B
비다,동,,C
비둘기,명,,C
비디오,명,video,A
비로소,부,,C
비롯되다,동,,C
비롯하다,동,,C
비만,명,肥滿,C
비명,명,悲鳴,C
비밀,명,秘密,B
비바람,명,,C
비비다,동,,C
비빔밥,명,,A
비상,명,非常,C
비서,명,秘書,B
비슷하다,형,,A
비싸다,형,,A
비용,명,費用,B
비우다,동,,C
비웃다,동,,C
비율,명,比率,C
비중,명,比重,C
비추다,동,,C
비치다,동,,C
비키다,동,,B
비타민,명,vitamin,B
비판,명,批判,C
비판적,명,批判的,C
비판하다,동,批判-,B
비하다,동,比-,C
비행,명,非行,C
비행,명,飛行,C
비행기,명,飛行機,A
비행장,명,飛行場,C
빌다,동,소원을 ~,B
빌딩,명,building,B
빌리다,동,,B
빗,명,~으로 빗다,B
빗물,명,,B
빗방울,명,,C
빗줄기,명,,C
빚,명,,C
빛,명,,B
빛깔,명,,C
빛나다,동,,C
빠뜨리다,동,,C
빠르다,형,,A
빠져나가다,동,,C
빠져나오다,동,,C
빠지다,동,머리가 ~,B
빠지다,동,물에 ~,B
빨간색,명,-色,A
빨갛다,형,,B
빨다,동,젖을 ~,C
빨다,동,옷을 ~,B
빨래,명,,B
빨리,부,,A
빵,명,,A
빼놓다,동,,C
빼다,동,가시를 ~,B
빼앗기다,동,,C
빼앗다,동,,C
뺏다,동,,C
뺨,명,,B
뻔하다,보,,C
뻔하다,형,,C
뻗다,동,,B
뼈,명,,B
뽑다,동,,B
뽑히다,동,,C
뿌리,명,,B
뿌리다,동,,B
뿌리치다,동,,C
뿐,의,,B
사,수,四,A
사건,명,事件,C
사계절,명,四季節,B
사고,명,事故,B
사고,명,思考,C
사과,명,沙果,A
사과,명,謝過,C
사과하다,동,謝過-,B
사귀다,동,,C
사기,명,士氣,C
사나이,명,,C
사냥,명,,C
사다,동,,A
사들이다,동,,C
사라지다,동,,B
사람,명,,A
사랑,명,,A
사랑스럽다,형,,B
사랑하다,동,,A
사례,명,事例,C
사립,명,私立,C
사망,명,死亡,C
사망하다,동,死亡-,C
사모님,명,師母-,B
사무,명,事務,B
사무소,명,事務所,C
사무실,명,事務室,A
사무직,명,事務職,C
사물,명,事物,B
사방,명,四方,C
사상,명,史上,C
사생활,명,私生活,C
사설,명,社說,C
사소하다,형,些少-,C
사슴,명,,C
사실,명,事實,B
사실,부,事實,B
사실상,부,事實上,C
사십,수,四十,A
사업,명,事業,B
사업가,명,事業家,C
사업자,명,事業者,C
사용,명,使用,B
사용되다,동,使用-,B
사용자,명,使用者,B
사용하다,동,使用-,A
사원,명,社員,B
사월,명,四月,A
사위,명,,B
사이,명,,A
사이사이,명,,C
사이좋다,형,,B
사자,명,獅子,B
사장,명,社長,A
사전,명,事前,C
사전,명,辭典,A
사정,명,事情,C
사진,명,寫眞,A
사진기,명,寫眞機,B
사촌,명,四寸,B
사춘기,명,思春期,C
사탕,명,沙糖,A
사투리,명,,C
사표,명,辭表,C
사회,명,社會,B
사회생활,명,社會生活,C
사회자,명,司會者,C
사회적,명,社會的,B
사회주의,명,社會主義,C
사회학,명,社會學,C
사흘,명,,B
산,명,山,A
산길,명,山-,C
산부인과,명,産婦人科,C
산소,명,酸素,B
산속,명,山-,B
산업,명,産業,C
산책,명,散策,A
살,명,~을 빼다,B
살,의,한 ~,A
살다,동,,A
살리다,동,,B
살림,명,,C
살아가다,동,,C
살아나다,동,,C
살아남다,동,,C
살아오다,동,,C
살인,명,殺人,C
살짝,부,,B
살펴보다,동,,B
살피다,동,,C
삶,명,,C
삶다,동,,B
삼,수,三,A
삼가다,동,,C
삼계탕,명,蔘鷄湯,C
삼국,명,三國,C
삼다,동,친구로 ~,C
삼십,수,三十,A
삼월,명,三月,A
삼촌,명,三寸,B
삼키다,동,,C
상,명,上,C
상,명,床,C
상,명,像,C
상,명,賞,B
상관,명,相關,C
상관없다,형,相關-,C
상관없이,부,相關-,C
상금,명,賞金,C
상담,명,相談,C
상당,명,相當,C
상당수,명,相當數,C
상당하다,형,相當-,C
상당히,부,相當-,C
상대,명,相對,B
상대방,명,相對方,B
상대성,명,相對性,C
상대적,명,相對的,C
상대편,명,相對便,C
상류,명,上流,C
상반기,명,上半期,C
상상,명,想像,B
상상력,명,想像力,C
상상하다,동,想像-,B
상식,명,常識,C
상업,명,商業,C
상인,명,商人,C
상자,명,箱子,B
상점,명,商店,C
상징적,명,象徵的,C
상징하다,동,象徵-,C
상처,명,傷處,B
상추,명,,B
상쾌하다,형,爽快-,C
상태,명,狀態,C
상표,명,商標,C
상품,명,商品,B
상하다,동,傷-,B
상황,명,狀況,C
새,명,사이,C
새,명,날짐승,A
새,관,,A
새기다,동,문신을 ~,C
새끼,명,자식~,B
새다,동,비가 ~,C
새로,부,,B
새로이,부,,C
새롭다,형,,C
새벽,명,,B
새소리,명,,B
새우,명,,B
새우다,동,밤을 ~,C
새해,명,,B
색,명,色,A
색깔,명,色-,A
색다르다,형,色-,C
색연필,명,色鉛筆,C
샌드위치,명,sandwich,A
생,명,生,C
생각,명,,A
생각나다,동,,B
생각되다,동,,B
생각하다,동,,A
생겨나다,동,,B
생기,명,生氣,C
생기다,동,,A
생명,명,生命,C
생물,명,生物,C
생방송,명,生放送,C
생산,명,生産,C
생산되다,동,生産-,C
생산력,명,生産力,C
생산자,명,生産者,C
생산하다,동,生産-,C
생선,명,生鮮,A
생신,명,生辰,B
생일,명,生日,A
생활,명,生活,A
생활비,명,生活費,C
생활수준,명,生活水準,C
생활용품,명,生活用品,C
생활하다,동,生活-,B
생활환경,명,生活環境,B
샤워,명,shower,A
서구,명,西歐,C
서너,관,,B
서늘하다,형,,C
서다,동,,A
서두르다,동,,B
서랍,명,,B
서로,부,,A
서로,명,,B
서류,명,書類,B
서른,수,,A
서명,명,署名,C
서명하다,동,署名-,C
서민,명,庶民,C
서부,명,西部,C
서비스,명,service,B
서서히,부,徐徐-,C
서양,명,西洋,B
서양인,명,西洋人,C
서울,고,,A
서울역,고,-驛,A
서적,명,書籍,C
서점,명,書店,A
서쪽,명,西-,A
서클,명,circle,C
서투르다,형,,B
서툴다,형,,C
석,관,~ 달,C
석,의,席,C
석사,명,碩士,C
석유,명,石油,B
섞다,동,,B
섞이다,동,,B
선,명,線,C
선거,명,選擧,C
선명하다,형,鮮明-,C
선물,명,膳物,A
선물하다,동,膳物-,A
선배,명,先輩,B
선생,명,先生,A
선생님,명,先生-,A
선수,명,選手,B
선언하다,동,宣言-,C
선원,명,船員,C
선장,명,船長,C
선전,명,宣傳,C
선정하다,동,選定-,C
선진,명,先進,C
선진국,명,先進國,C
선택,명,選擇,B
선택하다,동,選擇-,B
선풍기,명,扇風機,B
선호하다,동,選好-,C
설거지,명,,B
설날,명,,B
설득하다,동,說得-,C
설렁탕,명,-湯,B
설립하다,동,設立-,C
설명,명,說明,A
설명되다,동,說明-,C
설명하다,동,說明-,A
설문,명,設問,C
설사,부,設使,C
설악산,고,雪嶽山,A
설치,명,設置,C
설치되다,동,設置-,C
설치하다,동,設置-,C
설탕,명,雪糖,A
섬,명,,B
섭섭하다,형,,C
섭씨,명,攝氏,B
성,명,姓,B
성,명,性,C
성,명,城,C
성격,명,性格,B
성경,명,聖經,C
성공,명,成功,B
성공적,명,成功的,C
성공하다,동,成功-,B
성당,명,聖堂,C
성립되다,동,成立-,C
성립하다,동,成立-,C
성명,명,聲明,C
성별,명,性別,B
성숙하다,동,成熟-,C
성실하다,형,誠實-,C
성인,명,成人,B
성장,명,成長,C
성장하다,동,成長-,C
성적,명,性的,C
성적,명,成績,B
성질,명,性質,C
성함,명,姓銜,B
세,관,~ 권,A
세,의,世,C
세,의,歲,A
세계,명,世界,B
세계관,명,世界觀,C
세계적,명,世界的,B
세금,명,稅金,B
세기,명,世紀,B
세다,동,돈을 ~,C
세다,형,기운이 ~,B
세대,명,世代,C
세련되다,형,洗練-,C
세로,명,,B
세미나,명,seminar,C
세상,명,世上,B
세상에,감,世上-,C
세수,명,洗手,A
세우다,동,,B
세워지다,동,,B
세월,명,歲月,C
세제,명,洗劑,C
세종대왕,고,世宗大王,C
세탁,명,洗濯,B
세탁기,명,洗濯機,A
세탁소,명,洗濯所,B
세트,명,set,C
섹시하다,형,sexy-,C
센터,명,center,B
센티미터,의,centimeter,A
셈,의,,C
셋,수,,A
셋째,관,,A
셋째,수,,A
소,명,동물,B
소개,명,紹介,B
소개되다,동,紹介-,B
소개하다,동,紹介-,A
소규모,명,小規模,C
소극적,명,消極的,C
소금,명,,A
소나기,명,,B
소나무,명,,B
소녀,명,少女,B
소년,명,少年,B
소득,명,所得,C
소리,명,,B
소리치다,동,,B
소망,명,所望,C
소매,명,,C
소문,명,所聞,B
소문나다,동,所聞-,B
소박하다,형,素朴-,C
소비,명,消費,C
소비자,명,消費者,B
소비하다,동,消費-,C
소설,명,小說,B
소설가,명,小說家,B
소속,명,所屬,C
소수,명,少數,C
소스,명,sauce,B
소시지,명,sausage,B
소식,명,消息,B
소아과,명,小兒科,C
소요되다,동,所要-,C
소용,명,所用,C
소용없다,형,所用-,B
소원,명,所願,C
소위,부,所謂,C
소유,명,所有,C
소유자,명,所有者,C
소유하다,동,所有-,C
소음,명,騷音,C
소재,명,素材,C
소주,명,燒酒,B
소중하다,형,所重-,C
소중히,부,所重-,C
소지품,명,所持品,C
소질,명,素質,C
소파,명,sofa,A
소포,명,小包,B
소풍,명,逍風,A
소프트웨어,명,software,C
소형,명,小型,C
소홀히,부,疏忽-,C
소화,명,消化,C
소화하다,동,消化-,C
속,명,,A
속담,명,俗談,C
속도,명,速度,B
속마음,명,,C
속삭이다,동,,C
속상하다,형,-傷-,C
속옷,명,,B
속이다,동,,C
속하다,동,屬-,B
손,명,신체의 일부,A
손가락,명,,A
손길,명,,C
손녀,명,孫女,B
손님,명,,A
손등,명,,C
손목,명,,B
손바닥,명,,B
손발,명,,B
손뼉,명,,B
손수,부,,C
손수건,명,-手巾,B
손쉽다,형,,C
손실,명,損失,C
손자,명,孫子,B
손잡다,동,,C
손잡이,명,,B
손질,명,,C
손질하다,동,,C
손톱,명,,B
손해,명,損害,C
솔직하다,형,率直-,B
솔직히,부,率直-,B
솜,명,,C
솜씨,명,,C
솟다,동,,C
송아지,명,,B
송이,명,꽃 한 ~,B
송편,명,松-,B
쇠,명,,C
쇠고기,명,,A
쇼,명,show,B
쇼핑,명,shopping,A
수,의,방법,A
수,명,방법,C
수,명,數. ~를 세다,C
수건,명,手巾,A
수고,명,,C
수고하다,동,,B
수년,명,數年,B
수단,명,手段,C
수도,명,首都,C
수도권,명,首都圈,C
수도꼭지,명,水道-,C
수돗물,명,水道-,B
수동적,명,受動的,C
수리하다,동,修理-,C
수만,관,數萬,C
수많다,형,數-,B
수면,명,睡眠,C
수명,명,壽命,C
수박,명,과일,A
수백,관,數百,C
수상,명,首相,B
수석,명,首席,C
수술,명,手術,B
수시로,부,隨時-,C
수십,관,數十,C
수업,명,修業,C
수업,명,授業,A
수없이,부,數-,C
수염,명,鬚髥,B
수영,명,水泳,A
수영장,명,水泳場,A
수요,명,需要,C
수요일,명,水曜日,A
수입,명,收入,B
수입,명,輸入,B
수입되다,동,輸入-,C
수입품,명,輸入品,C
수입하다,동,輸入-,B
수저,명,,C
수준,명,水準,C
수집,명,蒐集,C
수집하다,동,蒐集-,C
수천,관,數千,C
수출,명,輸出,B
수출하다,동,輸出-,B
수컷,명,,C
수표,명,手票,B
수필,명,隨筆,C
수학,명,修學,B
수학,명,數學,B
수행하다,동,遂行-,C
수험생,명,受驗生,C
수화기,명,受話器,B
숙녀,명,淑女,C
숙소,명,宿所,B
숙이다,동,,B
숙제,명,宿題,A
순간,명,瞬間,B
순간적,명,瞬間的,C
순서,명,順序,B
순수,명,純粹,C
순수하다,형,純粹-,B
순식간,명,瞬息間,C
순위,명,順位,C
순진하다,형,純眞-,C
순하다,형,順-,C
숟가락,명,,A
술,명,~을 먹다,A
술,의,밥 한 ~,A
술병,명,-甁,B
술자리,명,,B
술잔,명,-盞,B
술집,명,,B
숨,명,,B
숨기다,동,,C
숨다,동,,B
숨지다,동,,C
숫자,명,數字,B
숲,명,,B
쉬다,동,편안히 ~,A
쉬다,동,숨을 ~,B
쉰,수,,A
쉽다,형,,A
슈퍼마켓,명,supermarket,A
스님,명,,B
스무,관,,A
스물,수,,A
스스로,부,,B
스스로,명,,B
스승,명,,C
스웨터,명,sweater,B
스위치,명,switch,C
스치다,동,살짝 닿다,C
스케이트,명,skate,B
스케줄,명,schedule,B
스키,명,ski,A
스키장,명,ski場,B
스타,명,star,B
스타일,명,style,B
스튜디오,명,studio,C
스트레스,명,stress,A
스포츠,명,sports,A
슬그머니,부,,C
슬쩍,부,,C
슬퍼하다,동,,B
슬프다,형,,A
슬픔,명,,B
습관,명,習慣,B
습기,명,濕氣,C
승객,명,乘客,C
승리,명,勝利,C
승리하다,동,勝利-,C
